--------------------
BDMEP - INMET
--------------------
Estação           : RECIFE  CURADO  - PE (OMM: 82900)
Latitude  (graus) : -8.05
Longitude (graus) : -34.95
Altitude  (metros): 10.00
Estação Operante
Inicio de operação: 07/07/1961
Periodo solicitado dos dados: 01/01/2000 a 12/12/2018
Os dados listados abaixo são os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e vírgula) no formato txt.
      Para o formato planilha XLS, siga as instruções
--------------------
Estacao;Data;Hora;Precipitacao;TempMaxima;TempMinima;Insolacao;Umidade Relativa Media;
82900;24/07/2000;1200;0.4;;21.4;;;
82900;25/07/2000;0000;;28.8;;2.7;87;
82900;25/07/2000;1200;12;;22.8;;;
82900;26/07/2000;0000;;25;;0;93.25;
82900;26/07/2000;1200;3.2;;21.4;;;
82900;27/07/2000;0000;;27.4;;5.2;83;
82900;27/07/2000;1200;27.7;;22.2;;;
82900;28/07/2000;0000;;27.7;;8.3;77.5;
82900;28/07/2000;1200;10.6;;22;;;
82900;29/07/2000;0000;;26.9;;0.7;85;
82900;29/07/2000;1200;0.6;;20.6;;;
82900;30/07/2000;0000;;24;;0;96;
82900;30/07/2000;1200;27.1;;20;;;
82900;31/07/2000;0000;;22.7;;0;97;
82900;31/07/2000;1200;25.9;;21.6;;;
82900;01/08/2000;0000;;25.7;;0;88.5;
82900;01/08/2000;1200;185.9;;21.6;;;
82900;02/08/2000;0000;;26.8;;0.9;88.25;
82900;02/08/2000;1200;55.5;;21;;;
82900;03/08/2000;0000;;27.7;;8.9;85;
82900;03/08/2000;1200;19.8;;21.2;;;
82900;04/08/2000;0000;;28;;7.9;82.75;
82900;04/08/2000;1200;0;;20.7;;;
82900;05/08/2000;0000;;26;;0.9;90.75;
82900;05/08/2000;1200;4;;22;;;
82900;06/08/2000;0000;;27.8;;5.6;86;
82900;06/08/2000;1200;9.6;;21.4;;;
82900;07/08/2000;0000;;27;;4.4;83.5;
82900;07/08/2000;1200;20.6;;22.6;;;
82900;08/08/2000;0000;;24.9;;0;94.75;
82900;08/08/2000;1200;11.3;;21.5;;;
82900;09/08/2000;0000;;28;;9.3;82.25;
82900;09/08/2000;1200;28.3;;22.4;;;
82900;10/08/2000;0000;;28.1;;9.6;79.5;
82900;10/08/2000;1200;2;;22;;;
82900;11/08/2000;0000;;27.7;;9.1;81.75;
82900;11/08/2000;1200;4.4;;21.5;;;
82900;12/08/2000;0000;;28.4;;10.3;81.75;
82900;12/08/2000;1200;0;;19;;;
82900;13/08/2000;0000;;28.5;;10;77.5;
82900;13/08/2000;1200;0;;19.8;;;
82900;14/08/2000;0000;;26;;0.3;77.75;
82900;14/08/2000;1200;0;;20.2;;;
82900;15/08/2000;0000;;27.5;;5.5;77.5;
